text_1,text_2,label,explanation,human_explanation
Person in green gear does trick in midair with motorcycle.,Person in gear does trick in midair with motorcycle.,0,The person wearing green gear is the one doing the trick in midair with the motorcycle.,A person does trick in midair while wearing green gear.
A man leans against a pay phone while reading a paper.,The man is standing and holing a newspaper.,0,"The man, who is leaning against a pay phone, is engaging in the activity of reading a paper, which is a type of holding a newspaper.",If the man is reading a paper he is reading a newspaper.
People walk down a street in a metropolitan area where graffiti can be seen.,The graffiti is good art,1,"While not all graffiti is considered good art, the presence of graffiti in a metropolitan area indicates that there is art to be seen, leaving open the possibility that some of it could be judged as good.",Not all graffiti is good art
Football players wearing helmets practice defensive moves while their coach stands by ready to blow his whistle.,The coach drills his team hard,0,"The coach's readiness to blow his whistle indicates that he is closely monitoring and guiding the practice, which could be interpreted as drilling the team hard.","In both sentence, coach are teaching her team."
A young woman in relaxed clothing vacuuming hallway with small vacuum.,A mother cleans up after her children who spilled cereal in the hallway by vacuuming.,1,"A woman vacuuming a hallway could be doing so for any reason, not just because her children spilled cereal.",Not all women are a mother with children.
A person is standing a display with their back facing us.,The person is sitting on the bench.,2,"If the person is standing at a display with their back facing us, they could also be sitting on a bench facing the display.",A person cannot be both standing and sitting on the bench at the same time.
One lone skier is making his way down a snowy mountain slope which has many ski track marks visible on the snow pack and a ski lift in the background.,A man is surfing at the beach.,2,"Just because there are ski tracks and a ski lift in the premise doesn't mean the person in the hypothesis is not at the beach, surfing.",Snowy mountain slope cannot be beach simultaneously.
A slim woman is walking a wet street holding a red umbrella.,A woman jogs a street with umbrellas.,2,"If the woman is walking with a red umbrella in a wet street, she might be jogging while holding the umbrella to keep dry.","One cannot walk and jog at the same time, and there can be only one umbrella or multiple umbrellas."
A woman and a man standing on a busy city street smiling.,The woman and the man are frowning.,2,"If the woman and man are standing and smiling on a busy city street, they are not frowning.",The couple is either standing or frowning.
A man with his surfboard stands in the sand.,fo,1,"The man, who is holding a surfboard, stands in the sand, but there is no information about him doing anything related to ""fo"".",
A congregation is watching the Pope give a speech.,The Pope is old,1,"The Pope, being a religious leader, tends to be a figure of advanced age, so it's plausible that the Pope giving a speech to a congregation would be an older individual.",A Pope is likely to be old but the possibility of the Pope being young or middle aged can't be discounted.
The children played on the four wheeler in the field.,The children are riding west on the four wheeler.,1,"The four wheeler's direction is not specified in the premise, so it cannot be concluded that the children are riding west on it.",It is not known if the children are riding west.
five girls dressed alike,There are five kids with the same clothes,0,The hypothesis can be true if the five kids are girls.,"The five kids are all girls, and they are dressed alike meaning same clothes"
Four people in black shirts giving a presentation to a room full of people using a big projector image on the wall.,four individuals are presenting their business plan,1,The people in black shirts are using a projector to display a business plan to the room.,Using a projector does not imply presenting a business plan.
A Guy is swimming in the pool with his eye goggles on.,A guy is practicing swimming for the semi-finals.,1,Wearing eye goggles while swimming could be part of a training routine for a competition like the semi-finals.,Swimming does not imply practicing for semi-finals.
People are looking at construction being done in a town street.,People watch as a new hotel is built.,1,"The construction in the town street is for a new hotel, which people are observing.",People are looking at construction being done in a town street does not indicate that he watch as a new hotel is built.
"Two people wait on a train, one in a yellow shirt and one that looks like a male in a green belly shirt.",Two people don't wait on a train,2,"The presence of two people waiting on a train contradicts the hypothesis that no one is waiting on a train, regardless of their clothing color.",If people wait on a train they don't not wait.
young boy wearing a red USA shirt is using either a toy or science equipment.,A child is performing an experiment,1,"The child wearing a red USA shirt, who is using either a toy or science equipment, could be conducting an experiment as a form of play or as part of a scientific inquiry.",The child is not necessarily performing an experiment.
"A female speaker wearing a gray jacket, a dark scoop necked top with a dark knee length skirt is presenting to a group using a computer to present as well as a microphone at the podium.",The woman is standing in front of people.,0,"The speaker, dressed in a gray jacket, dark scoop necked top, and dark knee length skirt, is using a podium with a microphone to present to a group, indicating she is standing in front of people.",A female speaker is a woman. Someone who is presenting to a group is standing in front of people.
"A blond woman is singing into a microphone and giving the ""okay"" symbol with her left hand.",A young woman is singing.,1,"The woman singing is young, as suggested by the use of the term ""young woman"" in the hypothesis.",Not all blond women who sing are young.
